2005,"[-1, 'Argentina']"
2006,"[-1, 'Argentina']"
2007,"[3, 'Argentina']"
2008,"[-1, 'Argentina']"
2009,"[5, 'Argentina']"
2010,"[-7, 'Argentina']"
2011,"[-5, 'Argentina']"
2012,"[3, 'Argentina']"
2005,"[2, 'Australia']"
2006,"[4, 'Australia']"
2007,"[-4, 'Australia']"
2008,"[6, 'Australia']"
2009,"[-2, 'Australia']"
2010,"[6, 'Australia']"
2011,"[-4, 'Australia']"
2012,"[10, 'Australia']"
2005,"[14, 'Brazil']"
2006,"[4, 'Brazil']"
2007,"[8, 'Brazil']"
2008,"[4, 'Brazil']"
2009,"[6, 'Brazil']"
2010,"[8, 'Brazil']"
2011,"[6, 'Brazil']"
2012,"[18, 'Brazil']"
2005,"[8, 'Canada']"
2006,"[8, 'Canada']"
2007,"[-4, 'Canada']"
2008,"[-2, 'Canada']"
2009,"[-4, 'Canada']"
2010,"[2, 'Canada']"
2011,"[2, 'Canada']"
2012,"[0, 'Canada']"
2005,"[11, 'China']"
2006,"[5, 'China']"
2007,"[7, 'China']"
2008,"[-1, 'China']"
2009,"[11, 'China']"
2010,"[-1, 'China']"
2011,"[1, 'China']"
2012,"[11, 'China']"
2005,"[4, 'Eurozone']"
2006,"[8, 'Eurozone']"
2007,"[-4, 'Eurozone']"
2008,"[0, 'Eurozone']"
2009,"[10, 'Eurozone']"
2010,"[6, 'Eurozone']"
2011,"[2, 'Eurozone']"
2012,"[8, 'Eurozone']"
2005,"[2, 'France']"
2006,"[2, 'France']"
2007,"[8, 'France']"
2008,"[4, 'France']"
2009,"[6, 'France']"
2010,"[-4, 'France']"
2011,"[-2, 'France']"
2012,"[6, 'France']"
2005,"[1, 'Germany']"
2006,"[5, 'Germany']"
2007,"[-5, 'Germany']"
2008,"[1, 'Germany']"
2009,"[-1, 'Germany']"
2010,"[3, 'Germany']"
2011,"[1, 'Germany']"
2012,"[1, 'Germany']"
2005,"[8, 'India']"
2006,"[4, 'India']"
2007,"[4, 'India']"
2008,"[6, 'India']"
2009,"[4, 'India']"
2010,"[4, 'India']"
2011,"[4, 'India']"
2012,"[4, 'India']"
2005,"[6, 'Indonesia']"
2006,"[0, 'Indonesia']"
2007,"[2, 'Indonesia']"
2008,"[0, 'Indonesia']"
2009,"[4, 'Indonesia']"
2010,"[4, 'Indonesia']"
2011,"[0, 'Indonesia']"
2012,"[0, 'Indonesia']"
2005,"[2, 'Italy']"
2006,"[8, 'Italy']"
2007,"[-4, 'Italy']"
2008,"[6, 'Italy']"
2009,"[4, 'Italy']"
2010,"[6, 'Italy']"
2011,"[0, 'Italy']"
2012,"[10, 'Italy']"
2005,"[3, 'Japan']"
2006,"[3, 'Japan']"
2007,"[1, 'Japan']"
2008,"[-5, 'Japan']"
2009,"[9, 'Japan']"
2010,"[5, 'Japan']"
2011,"[3, 'Japan']"
2012,"[3, 'Japan']"
2005,"[6, 'Mexico']"
2006,"[-4, 'Mexico']"
2007,"[-4, 'Mexico']"
2008,"[0, 'Mexico']"
2009,"[0, 'Mexico']"
2010,"[-2, 'Mexico']"
2011,"[-4, 'Mexico']"
2012,"[-4, 'Mexico']"
2005,"[7, 'Russia']"
2006,"[11, 'Russia']"
2007,"[5, 'Russia']"
2008,"[3, 'Russia']"
2009,"[5, 'Russia']"
2010,"[-1, 'Russia']"
2011,"[-1, 'Russia']"
2012,"[5, 'Russia']"
2005,"[3, 'South Africa']"
2006,"[5, 'South Africa']"
2007,"[7, 'South Africa']"
2008,"[5, 'South Africa']"
2009,"[3, 'South Africa']"
2010,"[5, 'South Africa']"
2011,"[-1, 'South Africa']"
2012,"[-3, 'South Africa']"
2005,"[4, 'South Korea']"
2006,"[0, 'South Korea']"
2007,"[-4, 'South Korea']"
2008,"[0, 'South Korea']"
2009,"[-2, 'South Korea']"
2010,"[8, 'South Korea']"
2011,"[-2, 'South Korea']"
2012,"[-2, 'South Korea']"
2005,"[-3, 'Turkey']"
2006,"[1, 'Turkey']"
2007,"[-3, 'Turkey']"
2008,"[-5, 'Turkey']"
2009,"[-7, 'Turkey']"
2010,"[-3, 'Turkey']"
2011,"[-3, 'Turkey']"
2012,"[-3, 'Turkey']"
2005,"[7, 'United Kingdom']"
2006,"[-1, 'United Kingdom']"
2007,"[9, 'United Kingdom']"
2008,"[3, 'United Kingdom']"
2009,"[-3, 'United Kingdom']"
2010,"[-1, 'United Kingdom']"
2011,"[3, 'United Kingdom']"
2012,"[5, 'United Kingdom']"
2005,"[3, 'United States']"
2006,"[11, 'United States']"
2007,"[5, 'United States']"
2008,"[-5, 'United States']"
2009,"[-1, 'United States']"
2010,"[3, 'United States']"
2011,"[5, 'United States']"
2012,"[9, 'United States']"
